cell_id,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_family,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
53332,6,1,0,0,0,6,2,3,0,1,2,4,4,0
53349,0,2,0,0,0,1,1,1,1,0,0,6,3,0
53351,0,0,0,0,0,0,0,0,0,0,0,1,0,1
53362,0,0,0,0,2,0,0,0,0,0,0,0,0,0
53365,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53484,0,1,9,0,0,0,0,0,3,1,0,0,0,0
53653,0,0,0,0,0,0,0,0,1,1,0,2,0,0
53655,0,0,0,0,0,0,0,0,1,0,1,0,0,0
53669,0,0,1,0,0,0,0,0,1,0,1,0,0,1
53671,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53672,0,0,0,1,0,1,0,1,0,0,0,0,0,11
53673,0,0,0,0,0,0,2,0,0,0,0,1,0,0
53675,1,0,0,0,0,0,0,1,0,0,0,2,0,0
53691,0,1,0,0,0,0,1,0,0,0,5,0,0,0
53692,2,3,2,0,0,3,1,1,0,0,2,1,2,12
53693,0,0,0,0,0,1,0,0,1,0,0,0,0,2
53694,2,0,0,0,0,2,1,0,0,0,0,7,0,0
53710,0,0,0,0,3,0,0,0,0,0,0,0,0,0
53711,0,3,0,0,0,0,0,1,0,0,0,1,0,0
53712,0,1,3,1,0,5,0,3,0,0,0,5,0,10
54016,0,0,0,0,0,0,0,0,0,0,1,0,1,0
54021,8,5,9,1,8,21,2,3,19,15,81,27,10,6
54028,0,0,2,0,0,5,0,1,0,5,0,7,0,1
54033,1,0,0,0,0,6,0,2,1,1,2,4,1,1
54035,2,0,0,1,0,0,0,3,0,1,0,1,0,3
54036,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54038,0,0,0,0,2,0,0,0,0,0,0,0,0,0
54045,1,0,0,0,0,1,0,1,0,0,0,0,0,0
54048,0,0,0,0,1,0,0,0,1,0,0,0,0,3
54053,1,0,0,0,0,0,0,0,0,0,0,0,1,0
